"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-1179176.88314465,-662379.581059161,-225154.944808964,-40068.4371783995,-147656.460286395,-17992.911425093,-187059.908363039,233682.000822091,-24328.4590093421,175599.586275518,-222844.907915239,201007.557428598,61285.2593476039,96296.4336345047,-176936.060346013,-87677.0653660808,-17897.0709272423,47317.7317868188,64974.6908800062,141608.968348604,-35448.2726483577,-56167.0085143777,-24371.468969525,18247.0289185391,-6227.16099467609
-1093879.96588373,-636436.380914037,-277090.325663601,-41046.9809439543,-96141.0052139835,-31962.8316438024,-308852.942311181,404798.84144712,-12003.8586650033,627689.835145658,-213493.184653426,-38461.924921014,30036.0017276903,66000.4991181493,-79345.2185778944,-28881.6219413672,32961.7039033653,14325.842446274,34133.8629148683,-123863.868947776,18208.7445891939,-38850.4335058503,-23216.3234634776,34598.5987975174,19268.3178814265
-1150104.64218059,-669944.838807003,-283007.108342794,-37112.4061838796,-8248.90207228995,-7838.84624147062,-222884.119063939,341392.70992413,-15004.0196709133,693735.323236492,-335308.390397647,-593098.125853215,101889.806503838,72209.6350961311,197199.576710011,1944.52032992693,38183.7301814784,-88736.6562907051,-56914.9884892668,-173292.160714885,-2699.84838888768,69634.8903881459,-39242.3229696531,62597.577409441,11710.2764226253
-1042033.32084475,-613060.155173385,-274496.262712787,-36045.3034853375,-13470.8110450247,-5723.23845656731,-218658.108551035,337391.343482607,-10737.5997132909,695981.050746464,-363908.744511498,-652316.864180824,86070.7781399586,59200.6582886063,230496.74722374,116673.62343312,32862.9658101396,-119140.667157789,-63004.0046749715,-281317.345744055,-7812.53457885441,79508.587303252,-89306.7372353993,83612.2261533216,16297.2070557557
-1466450.33104049,-868480.841231187,-608537.166707626,-200107.983371034,-1775338.82638101,71261.3939153601,22497.6406299439,-23692.5393562293,-2330.0646410666,85387.2216449017,-96022.6582907095,70881.2543421054,-57019.5067209208,-17891.9723084938,-127132.723412294,75320.0463997309,-11444.5058010605,246510.81653188,-315123.289567826,-114880.646608148,5340.64372879553,-42115.097695202,-66769.5757479261,-573.309273696213,25954.6836440245
-990839.002496508,-570190.272901653,-215498.345739653,-38364.5797011491,-131532.050130142,-23538.7751402317,-238495.759424039,298753.15095105,-8589.3593389929,238346.551534352,-306304.99401241,179592.407652161,-12425.8477358856,65370.1455065185,-165251.856446814,149190.276126473,-10603.4886694726,85237.5877185158,85297.0788465298,-57495.0525515612,63249.2241915458,32472.7655611343,-29647.7657149994,-19508.7907176887,23936.0563159074
-1254002.34543358,-715989.72627592,-295901.832871103,-51736.8936393613,-215547.259622835,-32891.1114879566,-273038.336454528,338949.782726439,-26508.8794580372,422388.716113567,-204419.733878471,337380.164754379,55261.6982496482,119008.60169462,-242524.636557729,-41597.9216154802,20613.7711843315,48514.1899184187,110965.940944425,-45852.2681452536,-486.248756652146,-240896.084335695,75506.2145636067,35001.8085128235,-9737.54411329816
-940099.008166091,-537666.604809824,-156170.555716417,-26028.9726443121,-58635.5652586946,-46186.1629083091,-197034.628354608,166441.574746997,-2208.31252516807,197216.423198502,-170289.849540555,156724.041805245,-76880.6454577541,-54333.9341609293,-152596.038679338,42064.2807967794,8865.36534124419,75077.4256057483,65806.2828122604,-31612.3384075783,67603.7105125076,-5167.09009525115,90882.6865023122,-26859.3427334632,13482.5559266831
-915232.582198458,-521054.739901994,-139057.742046976,-21142.2830382737,-10040.3866901744,-13193.1947097364,-166637.330593074,216553.950862238,21773.5648912643,168806.728187737,-70265.6816823697,109837.609610935,-108396.097422424,-49523.0695687421,-184925.047112887,-145414.651602768,49452.6766043237,-11733.2840004984,14475.147003333,137353.929844722,53555.8400831392,157287.020772133,-34435.1120913586,31477.6081957221,20634.1138863948
-701566.890600441,-406904.238267777,-203962.207161541,-40189.3066967409,-171472.86870185,-48034.8134017781,-301036.013764932,337321.626292021,10119.6636408704,438147.866585172,-205872.558117784,302802.301173321,-81568.305907915,10179.3120141697,-260970.399366757,22945.4751257548,32701.9505359263,70556.8282008646,90746.1628471524,-70827.6296099938,46683.4083981669,-152252.241137585,185456.379646318,-62064.1984462382,-1282.18397421834
