"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-1185001.03700752,-673924.503293992,-190886.681807873,-24092.1622253714,-6816.11694022729,-13323.3217064351,-138406.07734586,181121.539795419,35851.168701047,268044.629302491,-25254.6377822676,199999.988485167,2121.79870005308,41997.0168818355,-161300.825131242,-94968.2405769767,49124.8530558414,7424.1024371933,26770.8732519905,-7969.30260653731,35248.4959622583,14347.6592177573,144770.642745407,-42548.7262334707,18329.0012755992
-2825090.19370671,-1592448.39327696,-355229.050832947,-8606.45410516223,235775.555804345,22565.1082837741,-21304.2669721385,78388.0645630391,53709.1170446018,207945.595864505,319871.018074616,77936.6183322374,-431944.929637736,-330988.330197255,-346718.929820713,-111354.867457211,114384.578879878,-211279.875598127,-54576.2799553017,340438.369677802,26666.3529493845,121046.501357137,122611.814931188,-35450.0025579337,-63657.823079451
-3302183.88054731,-1851081.94301398,-391661.094565628,-1825.13985192657,349583.978148361,33624.1687134582,56935.2543560312,13414.8123767046,31273.0478967827,223463.639589395,464565.719331489,68315.5226968303,-193513.540729922,-179544.632571613,-329234.693750049,-499343.782253524,167326.159820605,-294166.00755842,-143980.066624243,571944.059704813,-54636.5751022796,-46433.488039626,-23000.2727824127,21563.1415966784,-22464.2937401229
-3095908.68322724,-1743851.06794906,-373163.321762407,1810.32933245779,355263.99689398,35859.8838020195,100126.343781221,-37557.1357118148,-2126.21385777322,193509.161016896,577579.671784491,254041.528431995,47329.3216087979,10082.3359004291,-192626.969318303,-391593.658933885,109490.227820095,-116927.456398045,-58486.0740432204,78710.7909186566,-37865.1596243575,52689.7391691293,55320.9221220954,-44046.8191352026,13802.2979811351
-3376998.02911915,-1901112.98210383,-317686.627623943,4663.39869852974,321249.867307033,44275.8151523888,128277.227554781,-108038.149526527,240317.045859633,19421.7545539908,316420.037230003,-31015.5628238075,-556322.344407281,-450722.253751495,-314702.792595215,91762.3312215883,93908.355161392,-252785.902392047,-59841.0859968242,207962.973064085,-18968.143188949,-68928.0041245062,-12259.1674721797,-80755.7627245381,107859.846820366
-1069704.74742027,-612742.103993099,-227527.120762775,-32891.4298114755,-81308.5445321735,-28672.6367695219,-226035.323456081,276222.212686331,-5821.46958235886,386705.117855977,-60779.8927081487,313493.316830993,-2405.68758851104,61076.7085353382,-215069.766132499,-44917.2531091644,29031.0656959779,93458.8143652935,81790.4007325254,-92471.6691115355,39605.686953155,-41411.3709051864,205761.916592183,-49612.0019916613,-10984.9046733863
-704757.528720365,-413675.008594642,-208911.671074169,-35540.2299225973,-144393.054750939,-39587.0969464493,-298931.781932261,352448.076190198,7962.61729408129,443955.25479664,-131691.76941299,270804.623892756,-56625.0195338638,28611.2738934023,-237750.852702048,89757.1318704211,28166.7305568526,42200.2801633443,74482.0116912716,-67536.7084344445,42190.5571009269,-17252.1884619746,102838.454407548,-60993.8372235723,4635.12550012247
-3254158.4088324,-1849885.22464531,-422109.505925677,8825.09420018084,379529.290371071,42895.4778267276,118656.406131341,-58383.9718465582,13423.1796827897,300614.629535457,801422.545554456,260965.825651189,-62893.5671823265,-79826.9820759735,-175005.834951305,-17723.1983548809,91336.2412940271,-147861.09859751,-50721.7762917179,-176908.848960293,-35617.7162856132,206140.10083952,203128.484856549,-72747.3678381298,-53991.073669396
-2431880.52336785,-1368586.05043929,-271407.048301885,-11013.2436306979,188220.995088269,27728.3870108102,50785.6319902202,-8482.28431830445,10887.0673078465,-20873.989188546,20668.0609687105,90268.7526715289,-168907.797942262,-116603.162041126,-171362.264727753,-41175.0839323269,30013.2586778393,3958.87489385188,26914.0859155002,26275.0890889898,40529.4806673823,12491.7489610502,12286.1799539649,-30436.3335715528,35173.6689163724
-2706972.25830521,-1529242.17771811,-353926.727016303,753.120922494854,300572.290258851,27661.7271527168,70104.247027407,-19832.8246423551,-11396.4697744842,212146.078202969,527946.34113496,226245.01744828,11588.5397525947,-13525.1826403386,-166847.992468719,-218087.802130099,100579.04083201,-131067.126886639,-58107.3092155279,-59557.2052533912,-45008.2228599226,36716.8557709217,57484.1991829217,-31572.3263433258,-9653.06717319677
